airfoil,camber,camber_pos,thickness,t_over_c,Re,CL_max,alpha_CL_max,CD_min,LD_max,CL_at_LD_max,alpha_at_LD_max,CM_at_zero_lift
naca1618,1,6,18,0.18,5000000.0,1.4059887154605062,11.5,0.005975971860339559,125.57421363484846,1.1786486765959336,8.5,-0.0386617684013474
naca1618,1,6,18,0.18,10000000.0,1.4196237165871708,11.0,0.005727117325446879,137.5069891766999,1.201213731466595,8.5,-0.03919963019039697
naca1618,1,6,18,0.18,17000000.0,1.4304684449438203,11.0,0.005608177475388249,145.98794970659745,1.2135031821223161,8.5,-0.03936536471347117
naca2210,2,2,10,0.1,1700000.0,1.366114776950843,10.5,0.005129943176809397,124.39579149069644,0.9719249604067428,6.0,-0.037900631288340314
naca2210,2,2,10,0.1,3000000.0,1.382476427004158,10.5,0.00501474221364479,135.92861918661882,0.9741068443574664,6.0,-0.03731420768561855
naca2210,2,2,10,0.1,5000000.0,1.3929909639866087,10.5,0.00494134089392271,145.62062515728533,0.9085838476528771,5.5,-0.0372010422252667
naca2210,2,2,10,0.1,10000000.0,1.398043264690176,10.0,0.004917789692085073,154.9388668932925,0.8491678416977776,5.0,-0.03740460238428514
naca2210,2,2,10,0.1,17000000.0,1.4006032501598444,10.0,0.0048855017396949975,160.05733553425688,1.1488796792198857,7.5,-0.03754508119190473
naca2212,2,2,12,0.12,1700000.0,1.4049077298954638,10.5,0.005592531951717145,125.85927001147583,1.1001421213312048,7.0,-0.03767909054735333
naca2212,2,2,12,0.12,3000000.0,1.4169797680838974,10.5,0.005440505503547245,138.13063240657448,1.0367638895614264,6.5,-0.036882755717664424
naca2212,2,2,12,0.12,5000000.0,1.4267232644251153,10.5,0.005328905279807479,148.67392316631435,1.033163451248924,6.5,-0.036679845559035196
naca2212,2,2,12,0.12,10000000.0,1.4344591041400478,10.5,0.005215824342631222,158.97178410718644,0.9784171880122279,6.0,-0.03686341542950913
naca2212,2,2,12,0.12,17000000.0,1.436673739084892,10.5,0.005115615060071031,164.33485059731336,1.1025237157989005,7.0,-0.03688175950573519
naca2214,2,2,14,0.14,1700000.0,1.4693072278636508,11.0,0.005989458056851646,125.07205809018747,1.2201834673932386,8.0,-0.03670072635767358
naca2214,2,2,14,0.14,3000000.0,1.4824392991800261,11.0,0.0058037611961661035,138.67786807994014,1.2190290570767852,8.0,-0.036254232987099934
naca2214,2,2,14,0.14,5000000.0,1.4895488971344388,11.0,0.005617740288323121,150.722247623015,1.1551625087721715,7.5,-0.036004374094075045
naca2214,2,2,14,0.14,10000000.0,1.4914414368763997,11.0,0.005417047828909308,162.91700791016584,1.1054787450125927,7.0,-0.03610115179664243
naca2214,2,2,14,0.14,17000000.0,1.4903815474853837,11.0,0.005319411819625605,168.94532084823007,1.172151560409285,7.5,-0.03597269580689162
